deputat,perc_for,votes_for,tvo,oblast,year,info,proposed,registration,gender,age,birthday,job,city_living,party,tvo_pres,pres_candidate,pres_perc_for,pres_votes_for,winner,average_age,pop_change,region_ideology,previous,ever,funding,power_status,party_ideology,prop_election_forecast,fixed_previous,funding_fixed,true_prob,true_prob_sum,true_prob_two_1
Крученюк Олександр Васильович,,,13,Вінницька область,2019,"народився 30 травня 1978 року в місті Хмільник Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник голови, Вінницька обласна державна адміністрація, член Політичної партії ""Європейська Солідарність"", проживає в місті Хмільник Вінницької області, судимість відсутня, суб’єкт висування – Політична партія ""Європейська Солідарність"".",політична партія європейська солідарність,2019-06-24,M,41.0,1978-05-30,заступник голови,проживає в місті Хмільник Вінницької області,політична партія європейська солідарність,13.0,Порошенко Петро,21.239709744728998,20460,,41.1,-4.7,grey,False,False,0.0,no,orange,,,0.0,0.43014315,2.4087164,0.17857775
Побережний Олег Володимирович,,,13,Вінницька область,2019,"народився 8 серпня 1967 року в селі Стара Гута Хмільницького району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, ГО ""Партія Національного Порятунку"", член ПОЛІТИЧНОЇ ПАРТІЇ ""СОЦІАЛЬНА СПРАВЕДЛИВІСТЬ"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛЬНА СПРАВЕДЛИВІСТЬ"".",політична партія соціальна справедливість,2019-06-24,M,52.0,1967-08-08,голова,проживає в місті Вінниці,Other,13.0,,0.0,0,,41.1,-4.7,grey,False,False,0.0,no,grey,,,0.0,0.34592462,2.4087164,0.14361367
Стахов Валерій Іванович,,,13,Вінницька область,2019,"народився 17 жовтня 1969 року в місті Козятин Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, селянсько-фермерське господарство ""Богдан"", безпартійний, проживає в селі Козятин Козятинського району Вінницької області, судимість відсутня, самовисування.",самовисування,2019-06-18,M,50.0,1969-10-17,голова,проживає в селі Козятин Козятинського району Вінницької області,Other,13.0,,0.0,0,,41.1,-4.7,grey,False,False,0.0,no,grey,,,0.0,0.5065728,2.4087164,0.21030818
Юрчишин Петро Васильович,,,13,Вінницька область,2019,"народився 13 липня 1958 року в місті Антрацит Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в місті Хмільник Вінницької області, судимість відсутня, самовисування.",самовисування,2019-06-15,M,61.0,1958-07-13,народний депутат України,проживає в місті Хмільник Вінницької області,Other,13.0,,0.0,0,,41.1,-4.7,grey,True,True,35070.0,no,grey,,True,35070.0,0.9707499,2.4087164,0.40301543
Яремчук Юрій Якович,,,13,Вінницька область,2019,"народився 31 травня 1972 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член Політичної партії ""ОПОЗИЦІЙНИЙ БЛОК"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНИЙ БЛОК"".",політична партія опозиційний блок,2019-06-25,M,47.0,1972-05-31,тимчасово не працює,проживає в місті Вінниці,політична партія опозиційний блок,13.0,Вілкул Олександр,1.59349728534502,1535,,41.1,-4.7,grey,False,False,0.0,no,blue,,,0.0,0.15532607,2.4087164,0.064485
Мельничук Іван Іванович,,,14,Вінницька область,2019,"народився 8 лютого 1969 року в місті Коломия Івано-Франківської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, член Політичної партії ""Європейська Солідарність"", проживає в селі Дяківці Літинського району Вінницької області, судимість відсутня, суб’єкт висування – Політична партія ""Європейська Солідарність"".",політична партія європейська солідарність,2019-06-24,M,50.0,1969-02-08,народний депутат України,проживає в селі Дяківці Літинського району Вінницької області,політична партія європейська солідарність,14.0,Порошенко Петро,22.4418233981511,23232,,41.1,-4.7,grey,True,True,12480.0,no,orange,,True,12480.0,0.89646274,2.309131,0.38822517
Кушнір Анатолій Петрович,,,14,Вінницька область,2019,"народився 10 листопада 1961 року в місті Жмеринка Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта середня спеціальна, директор з виробництва, ПП ""Корунд-Комплект"", безпартійний, проживає в місті Жмеринка Вінницької області, судимість відсутня, самовисування.",самовисування,2019-06-20,M,58.0,1961-11-10,директор,проживає в місті Жмеринка Вінницької області,Other,14.0,,0.0,0,,41.1,-4.7,grey,False,False,0.0,no,grey,,,0.0,0.20652641,2.309131,0.08943903
Юхимчук Анатолій Петрович,,,14,Вінницька область,2019,"народився 19 квiтня 1959 року в селі Коричинці Деражнянського району Хмельницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, радник Голови, Рахункова палата, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.",самовисування,2019-06-22,M,60.0,1959-04-19,Other,проживає в місті Києві,Other,14.0,,0.0,0,,41.1,-4.7,grey,False,True,0.0,no,grey,,,0.0,0.69208443,2.309131,0.2997164
Середа Віталій Вікторович,,,14,Вінницька область,2019,"народився 27 грудня 1982 року в смт Літин Літинського району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, громадська організація ""Учасників АТО Літинського району"", безпартійний, проживає в смт Літин Літинського району Вінницької області, судимість відсутня, самовисування.",самовисування,2019-06-22,M,37.0,1982-12-27,голова,проживає в смт Літин Літинського району Вінницької області,Other,14.0,,0.0,0,,41.1,-4.7,grey,False,False,0.0,no,grey,,,0.0,0.28271043,2.309131,0.12243153
Ткачук Віталій Миколайович,,,14,Вінницька область,2019,"народився 13 липня 1975 року в селі Вербівка Липовецького району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта професійно-технічна, тимчасово не працює, безпартійний, проживає в місті Вінниці, судимість відсутня, самовисування.",самовисування,2019-06-22,M,44.0,1975-07-13,тимчасово не працює,проживає в місті Вінниці,Other,14.0,,0.0,0,,41.1,-4.7,grey,False,False,0.0,no,grey,,,0.0,0.23134692,2.309131,0.100187875
Романюк Володимир Васильович,,,15,Вінницька область,2019,"народився 20 квiтня 1978 року в смт Теплик Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, регіональний директор, ПрАТ ""Зернопродукт МХП"", безпартійний, проживає в селі Карабелівка Теплицького району Вінницької області, судимість відсутня, самовисування.",самовисування,2019-06-20,M,41.0,1978-04-20,директор,проживає в селі Карабелівка Теплицького району Вінницької області,Other,15.0,,0.0,0,,41.1,-4.7,grey,False,False,0.0,no,grey,,,0.0,0.23134692,1.8768599,0.123262756
Пращук Віталій Юрійович,,,15,Вінницька область,2019,"народився 18 вересня 1980 року в смт Сутиски Тиврівського району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в смт Сутиски Тиврівського району Вінницької області, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",політична партія слуга народу,2019-06-25,M,39.0,1980-09-18,тимчасово не працює,проживає в смт Сутиски Тиврівського району Вінницької області,Other,15.0,,0.0,0,,41.1,-4.7,grey,False,False,0.0,yes,orange,,,0.0,0.14617327,1.8768599,0.07788182
Спориш Іван Дмитрович,,,15,Вінницька область,2019,"народився 8 липня 1959 року в селі Комаргород Томашпільського району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в селі Високе Томашпільського району Вінницької області, судимість відсутня, самовисування.",самовисування,2019-06-25,M,60.0,1959-07-08,народний депутат України,проживає в селі Високе Томашпільського району Вінницької області,Other,15.0,,0.0,0,,41.1,-4.7,grey,True,True,0.0,no,grey,,True,0.0,0.9176941,1.8768599,0.48895183
Тітов Сергій Олександрович,,,15,Вінницька область,2019,"народився 11 вересня 1974 року в місті Харкові, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, адвокат, безпартійний, проживає в селі Антонівка Томашпільського району Вінницької області, судимість відсутня, самовисування.",самовисування,2019-06-23,M,45.0,1974-09-11,адвокат,проживає в селі Антонівка Томашпільського району Вінницької області,Other,15.0,,0.0,0,,41.1,-4.7,grey,False,False,0.0,no,grey,,,0.0,0.23134692,1.8768599,0.123262756
Івасько Василь Леонідович,,,15,Вінницька область,2019,"народився 1 сiчня 1974 року в селі Хоменки Шаргородського району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта професійно-технічна, фізична особа – підприємець, член політичної партії Всеукраїнське об’єднання ""Свобода"", проживає в селі Хоменки Шаргородського району Вінницької області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Свобода"".",політична партія всеукраїнське обєднання свобода,2019-06-25,M,45.0,1974-01-01,підприємець,проживає в селі Хоменки Шаргородського району Вінницької області,політична партія всеукраїнське обєднання свобода,15.0,Кошулинський Руслан,1.4363630564445,1351,,41.1,-4.7,grey,False,False,0.0,no,orange,,,0.0,0.35029873,1.8768599,0.18664086
Воліковський Валентин Михайлович,,,16,Вінницька область,2019,"народився 22 сiчня 1975 року в селі Ольгопіль Чечельницького району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член політичної партії Всеукраїнське об’єднання ""Свобода"", проживає в селі Ольгопіль Чечельницького району Вінницької області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Свобода"".",політична партія всеукраїнське обєднання свобода,2019-06-25,M,44.0,1975-01-22,підприємець,проживає в селі Ольгопіль Чечельницького району Вінницької області,політична партія всеукраїнське обєднання свобода,16.0,Кошулинський Руслан,0.768177290836653,617,,41.1,-4.7,grey,False,False,0.0,no,orange,,,0.0,0.35029873,2.3156848,0.1512722
Василишен Володимир Миколайович,,,16,Вінницька область,2019,"народився 11 сiчня 1967 року в селі Джугастра Крижопільського району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, фермерське господарство ""Василишен В.М."", член Аграрної партії України, проживає в смт Крижопіль Крижопільського району Вінницької області, судимість відсутня, суб’єкт висування – Аграрна партія України.",аграрна партія україни,2019-06-25,M,52.0,1967-01-11,голова,проживає в смт Крижопіль Крижопільського району Вінницької області,народна партія,16.0,,0.0,0,,41.1,-4.7,grey,False,False,0.0,no,grey,,,0.0,0.34592462,2.3156848,0.14938329
Сірант Володимир Володимирович,,,16,Вінницька область,2019,"народився 19 липня 1966 року в селі Серебринець Могилів-Подільського району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, Могилів-Подільська районна рада, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в селі Серебринець Могилів-Подільського району Вінницької області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".",політична партія всеукраїнське обєднання батьківщина,2019-06-24,M,53.0,1966-07-19,голова,проживає в селі Серебринець Могилів-Подільського району Вінницької області,політична партія всеукраїнське обєднання батьківщина,16.0,Тимошенко Юлія,16.9820717131474,13640,,41.1,-4.7,grey,False,False,0.0,no,orange,,,0.0,0.34156695,2.3156848,0.14750148
Македон Юрій Миколайович,,,16,Вінницька область,2019,"народився 24 жовтня 1980 року в місті Могилів-Подільський Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в місті Могилів-Подільський Вінницької області, судимість відсутня, самовисування.",самовисування,2019-06-19,M,39.0,1980-10-24,народний депутат України,проживає в місті Могилів-Подільський Вінницької області,Other,16.0,,0.0,0,,41.1,-4.7,grey,True,True,10770.0,no,grey,,True,10770.0,0.94820935,2.3156848,0.40947255
Вдовцов Михайло Михайлович,,,16,Вінницька область,2019,"народився 27 лютого 1980 року в селі Довжок Ямпільського району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, Ямпільська районна державна адміністрація Вінницької області, член Політичної партії ""Європейська Солідарність"", проживає в селі Довжок Ямпільського району Вінницької області, судимість відсутня, суб’єкт висування – Політична партія ""Європейська Солідарність"".",політична партія європейська солідарність,2019-06-24,M,39.0,1980-02-27,голова,проживає в селі Довжок Ямпільського району Вінницької області,політична партія європейська солідарність,16.0,Порошенко Петро,18.067729083665306,14512,,41.1,-4.7,grey,False,False,0.0,no,orange,,,0.0,0.32968527,2.3156848,0.14237054
Кучер Микола Іванович,,,17,Вінницька область,2019,"народився 24 серпня 1959 року в селі Гордіївка Тростянецького району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, член Української Народної Партії, проживає в місті Ладижин Вінницької області, судимість відсутня, самовисування.",самовисування,2019-06-18,M,60.0,1959-08-24,народний депутат України,проживає в місті Ладижин Вінницької області,українська народна партія,17.0,,0.0,0,,41.1,-4.7,grey,True,True,16490.0,no,grey,,True,16490.0,0.94059277,1.9027231,0.49434033
Жилінський Андрій Іванович,,,17,Вінницька область,2019,"народився 1 сiчня 1977 року в місті Ладижин Тростянецького району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.",самовисування,2019-06-25,M,42.0,1977-01-01,тимчасово не працює,проживає в місті Києві,Other,17.0,,0.0,0,,41.1,-4.7,grey,False,False,0.0,no,grey,,,0.0,0.23134692,1.9027231,0.12158728
Майданевич Леонід Олександрович,,,17,Вінницька область,2019,"народився 25 серпня 1972 року в селі Жданівка Хмільницького району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, адвокат, безпартійний, проживає в місті Вінниці, судимість відсутня, самовисування.",самовисування,2019-06-25,M,47.0,1972-08-25,адвокат,проживає в місті Вінниці,Other,17.0,,0.0,0,,41.1,-4.7,grey,False,False,0.0,no,grey,,,0.0,0.2443069,1.9027231,0.12839857
Зарічанський Володимир Анатолійович,,,17,Вінницька область,2019,"народився 6 лютого 1973 року в місті Тростянець Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член політичної партії Всеукраїнське об’єднання ""Свобода"", проживає в селі Війтівка Бершадського району Вінницької області, судимість відсутня, самовисування.",самовисування,2019-06-22,M,46.0,1973-02-06,підприємець,проживає в селі Війтівка Бершадського району Вінницької області,політична партія всеукраїнське обєднання свобода,17.0,Кошулинський Руслан,0.8274208252407941,835,,41.1,-4.7,grey,False,False,0.0,no,grey,,,0.0,0.13428783,1.9027231,0.07057666
Пигуля Віктор Миколайович,,,17,Вінницька область,2019,"народився 1 травня 1975 року в селі Удич Теплицького району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, споживче товариство ""Гранд"", член Політичної партії ""ОПОЗИЦІЙНИЙ БЛОК"", проживає в селі Удич Теплицького району Вінницької області, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНИЙ БЛОК"".",політична партія опозиційний блок,2019-06-25,M,44.0,1975-05-01,голова,проживає в селі Удич Теплицького району Вінницької області,політична партія опозиційний блок,17.0,Вілкул Олександр,1.99472828887391,2013,,41.1,-4.7,grey,False,False,0.0,no,blue,,,0.0,0.3521886,1.9027231,0.18509713
Вигонюк Андрій Володимирович,,,18,Вінницька область,2019,"народився 12 грудня 1991 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник головного лікаря, НКП ""Вінницький обласний спеціалізований клінічний диспансер радіаційного захисту населення"", член політичної партії Всеукраїнське об’єднання ""Свобода"", проживає в місці Вінниці, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Свобода"".",політична партія всеукраїнське обєднання свобода,2019-06-25,M,28.0,1991-12-12,Other,проживає в місці Вінниці,політична партія всеукраїнське обєднання свобода,18.0,Кошулинський Руслан,0.8710398520003081,791,,41.1,-4.7,grey,False,False,0.0,no,orange,,,0.0,0.2683908,2.2432334,0.11964462
Зелінський Андрій Васильович,,,18,Вінницька область,2019,"народився 4 грудня 1975 року в місті Липовець Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, керівник проектів, ГО ""Громадський рух ""СЛУГА НАРОДУ"", безпартійний, проживає в місті Липовець Липовецького району Вінницької області, судимість відсутня, самовисування.",самовисування,2019-06-24,M,44.0,1975-12-04,керівник,проживає в місті Липовець Липовецького району Вінницької області,Other,18.0,,0.0,0,,41.1,-4.7,grey,False,False,0.0,no,grey,,,0.0,0.23134692,2.2432334,0.103131
Калетнік Григорій Миколайович,,,18,Вінницька область,2019,"народився 2 травня 1949 року в селі Клембівка Ямпільського району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, професор кафедри адміністративного менеджменту та альтернативних джерел енергії, Вінницький національний аграрний університет, безпартійний, проживає в селі Велика Кісниця Ямпільського району Вінницької області, судимість відсутня, самовисування.",самовисування,2019-06-17,M,70.0,1949-05-02,Other,проживає в селі Велика Кісниця Ямпільського району Вінницької області,Other,18.0,,0.0,0,,41.1,-4.7,grey,False,True,0.0,no,grey,,,0.0,0.55097944,2.2432334,0.24561842
Демчак Руслан Євгенійович,,,18,Вінницька область,2019,"народився 5 липня 1974 року в смт Липовець Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в місті Липовець Липовецького району Вінницької області, судимість відсутня, самовисування.",самовисування,2019-06-24,M,45.0,1974-07-05,народний депутат України,проживає в місті Липовець Липовецького району Вінницької області,Other,18.0,,0.0,0,,41.1,-4.7,grey,True,True,20790.0,no,grey,,True,20790.0,0.94820935,2.2432334,0.42269757
Грусевич Віталій Олегович,,,18,Вінницька область,2019,"народився 1 червня 1973 року в смт Брацлав Немирівського району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, виконавчий директор, Конфедерація будівельників України, безпартійний, проживає в селі Віта-Поштова Києво-Святошинського району Київської області, судимість відсутня, самовисування.",самовисування,2019-06-24,M,46.0,1973-06-01,директор,проживає в селі Віта-Поштова Києво-Святошинського району Київської області,Other,18.0,,0.0,0,,41.1,-4.7,grey,False,False,0.0,no,grey,,,0.0,0.2443069,2.2432334,0.10890838
Гузь Ігор Володимирович,,,19,Волинська область,2019,"народився 11 сiчня 1982 року в місті Луцьку, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в місті Луцьку, судимість відсутня, самовисування.",самовисування,2019-06-17,M,37.0,1982-01-11,народний депутат України,проживає в місті Луцьку,Other,19.0,,0.0,0,,37.5,1.6,orange,True,True,27850.0,no,grey,,True,27850.0,0.88881487,1.6659231,0.53352696
Григоренко Сергій Анатолійович,,,19,Волинська область,2019,"народився 2 сiчня 1979 року в місті Луцьку, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, консультант, ТОВ ""Спецпроект-Капітал"", член Політичної партії ""Європейська Солідарність"", проживає в місті Луцьку, судимість відсутня, суб’єкт висування – Політична партія ""Європейська Солідарність"".",політична партія європейська солідарність,2019-06-24,M,40.0,1979-01-02,консультант,проживає в місті Луцьку,політична партія європейська солідарність,19.0,Порошенко Петро,15.1978834836132,14074,,37.5,1.6,orange,False,False,0.0,no,orange,,,0.0,0.117301926,1.6659231,0.07041257
