deputat	winner	year	oblast	tvo
Назаров Юнус Турдалієвич 	False	2012	Автономна Республіка Крим	№5
Халік Мирослав Олександрович 	False	2012	Автономна Республіка Крим	№5
Луцик Олександр Петрович 	False	2012	Автономна Республіка Крим	№5
Горожанкіна Валерія Валеріївна 	False	2012	Автономна Республіка Крим	№5
Максименко Євген Володимирович 	False	2012	Автономна Республіка Крим	№5
Савченко Ігор Анатолійович 	False	2012	Автономна Республіка Крим	№5
Кулганик Олександр Анатолійович 	False	2012	Автономна Республіка Крим	№5
Хижняков Володимир Федорович 	False	2012	Автономна Республіка Крим	№5
Гамма Сергій Михайлович 	False	2012	Автономна Республіка Крим	№5
Турченко Анатолій Анатолійович 	False	2012	Автономна Республіка Крим	№5
Муравленко Павло Борисович 	False	2012	Автономна Республіка Крим	№5
Лобарев Сергій Вікторович 	False	2012	Автономна Республіка Крим	№5
Подорожний Микола Олександрович 	False	2012	Автономна Республіка Крим	№5
Мінчев Костянтин Петрович 	False	2012	Автономна Республіка Крим	№5
Льовочкіна Юлія Володимирівна 	True	2012	Автономна Республіка Крим	№6
Жадов Юрій Дмитрович 	False	2012	Автономна Республіка Крим	№6
Чорний Петро Володимирович 	False	2012	Автономна Республіка Крим	№6
Кулак Костянтин Васильович 	False	2012	Автономна Республіка Крим	№6
Шувайников Сергій Іванович 	False	2012	Автономна Республіка Крим	№6
Самадінов Алмір Шевкетович 	False	2012	Автономна Республіка Крим	№6
Антілогов Віктор Миколайович 	False	2012	Автономна Республіка Крим	№6
Мокренюк Сергій Миколайович 	False	2012	Автономна Республіка Крим	№6
Вербов Андрій Олександрович 	False	2012	Автономна Республіка Крим	№6
Букін Денис Олександрович 	False	2012	Автономна Республіка Крим	№6
Татарінов Юрій Анатолійович 	False	2012	Автономна Республіка Крим	№6
Гончаренко Андрій Андрійович 	False	2012	Автономна Республіка Крим	№6
Банников Олександр Геннадійович 	False	2012	Автономна Республіка Крим	№6
Купчишина Діна Леонідівна 	False	2012	Автономна Республіка Крим	№6
Погребняк Ігор Анатолійович 	False	2012	Автономна Республіка Крим	№6
Харін Олександр Васильович 	False	2012	Автономна Республіка Крим	№6
Ткачук Сергій Васильович 	False	2012	Автономна Республіка Крим	№6
Меньщиков Сергій Олександрович 	False	2012	Автономна Республіка Крим	№6
Брайко Сергій Борисович 	True	2012	Автономна Республіка Крим	№7
Рафалович Віктор Павлович 	False	2012	Автономна Республіка Крим	№7
Формус Юрій Віталійович 	False	2012	Автономна Республіка Крим	№7
Хворов Сергій Володимирович 	False	2012	Автономна Республіка Крим	№7
Тараненко Григорій Леонідович 	False	2012	Автономна Республіка Крим	№7
Яковенко Олексій Вікторович 	False	2012	Автономна Республіка Крим	№7
Романюк Ігор Анатолійович 	False	2012	Автономна Республіка Крим	№7
Красненков Яків Олександрович 	False	2012	Автономна Республіка Крим	№7
Яворський Віталій Миколайович 	False	2012	Автономна Республіка Крим	№7
Чайка Дмитро Іванович 	False	2012	Автономна Республіка Крим	№7
Зорін Ігор Володимирович 	False	2012	Автономна Республіка Крим	№7
Бондаренко Максим Олексійович 	False	2012	Автономна Республіка Крим	№7
Балмашнов Михайло Юрійович 	False	2012	Автономна Республіка Крим	№7
Карапетров Андрій Миколайович 	False	2012	Автономна Республіка Крим	№7
Хоруженко Максим Сергійович 	False	2012	Автономна Республіка Крим	№7
Сальков Данило Володимирович 	False	2012	Автономна Республіка Крим	№7
Дорофєєв Ігор Іванович 	False	2012	Автономна Республіка Крим	№7
Агальцов-Новохатський Анатолій Андрійович 	False	2012	Автономна Республіка Крим	№7
Дейч Борис Давидович 	True	2012	Автономна Республіка Крим	№8
Барієв Ескендер Енверович 	False	2012	Автономна Республіка Крим	№8
Івашина Роксолана Ігорівна 	False	2012	Автономна Республіка Крим	№8
Хомутов Віталій Миколайович 	False	2012	Автономна Республіка Крим	№8
Німетуллаєв Едем Рідванович 	False	2012	Автономна Республіка Крим	№8
Пономаренко Сергій Петрович 	False	2012	Автономна Республіка Крим	№8
Мельник Галина Миколаївна 	False	2012	Автономна Республіка Крим	№8
Касєєва Олена Миколаївна 	False	2012	Автономна Республіка Крим	№8
Крижановський Станіслав Іванович 	False	2012	Автономна Республіка Крим	№8
Биткова Ніна Євгеніївна 	False	2012	Автономна Республіка Крим	№8
Свиридов Ігор Володимирович 	False	2012	Автономна Республіка Крим	№8
Колотюк Ольга Володимирівна 	False	2012	Автономна Республіка Крим	№8
Стрельцова Олена Анатоліївна 	False	2012	Автономна Республіка Крим	№8
Рогульчик Валентина Іванівна 	False	2012	Автономна Республіка Крим	№8
Мосієнко Володимир Дмитрович 	False	2012	Автономна Республіка Крим	№8
Нечаєв Олександр Ігоревич 	True	2012	Автономна Республіка Крим	№9
Толочко Елла Петрівна 	False	2012	Автономна Республіка Крим	№9
Лесів Ігор Михайлович 	False	2012	Автономна Республіка Крим	№9
Мельник Володимир Олександрович 	False	2012	Автономна Республіка Крим	№9
Анелікова Євгенія Андріївна 	False	2012	Автономна Республіка Крим	№9
Грива Олег Олександрович 	False	2012	Автономна Республіка Крим	№9
Андрєєва Наталя Євгенівна 	False	2012	Автономна Республіка Крим	№9
Ляшенко Олександр Юрійович 	False	2012	Автономна Республіка Крим	№9
Кулєша Сергій Анатолійович 	False	2012	Автономна Республіка Крим	№9
Жаріков Іван Петрович 	False	2012	Автономна Республіка Крим	№9
Плошихіна Наталя Василівна 	False	2012	Автономна Республіка Крим	№9
Постєвая Тамара Григорівна 	False	2012	Автономна Республіка Крим	№9
Канівець Наталія Іванівна 	False	2012	Автономна Республіка Крим	№9
Іванов Володимир Кіндратович 	False	2012	Автономна Республіка Крим	№9
Лебедєв Ігор Володимирович 	False	2012	Автономна Республіка Крим	№9
Мельнікова Тетяна Богданівна 	False	2012	Автономна Республіка Крим	№9
Луміковський Микола Миколайович 	False	2012	Автономна Республіка Крим	№9
Муравейник Юрій Анатолійович 	False	2012	Автономна Республіка Крим	№9
Тарасов Валерій Іванович 	False	2012	Автономна Республіка Крим	№9
Груба Григорій Іванович 	True	2012	Автономна Республіка Крим	№10
Чийгоз Ахтем Зейтуллайович 	False	2012	Автономна Республіка Крим	№10
Голубєв Михайло Михайлович 	False	2012	Автономна Республіка Крим	№10
Ременюк Олексій Іванович 	False	2012	Автономна Республіка Крим	№10
Вакулін Дмитро Сергійович 	False	2012	Автономна Республіка Крим	№10
Макєєв Михайло Андрійович 	False	2012	Автономна Республіка Крим	№10
Тутєров Володимир Лукич 	False	2012	Автономна Республіка Крим	№10
Юрьєв Олександр Юрійович 	False	2012	Автономна Республіка Крим	№10
Книрік Костянтин Сергійович 	False	2012	Автономна Республіка Крим	№10
Терещенко Олена Вікторівна 	False	2012	Автономна Республіка Крим	№10
Казарін Володимир Павлович 	False	2012	Автономна Республіка Крим	№10
Поздняков Андрій Володимирович 	False	2012	Автономна Республіка Крим	№10
Решетнікова Світлана Анатоліївна 	False	2012	Автономна Республіка Крим	№10
Крутов Сергій Валерійович 	False	2012	Автономна Республіка Крим	№10
Коз’якова Ірена В’ячеславівна 	False	2012	Автономна Республіка Крим	№10
Гуріненко Олексій Миколайович 	False	2012	Автономна Республіка Крим	№10
Писана Олена Вікторівна 	False	2012	Автономна Республіка Крим	№10
Миронов Олександр Володимирович 	False	2012	Автономна Республіка Крим	№10
Костюк Віктор Георгійович 	False	2012	Автономна Республіка Крим	№10
Тещаєва Олена Володимирівна 	False	2012	Автономна Республіка Крим	№10
Похилюк Євгеній Олександрович 	False	2012	Автономна Республіка Крим	№10
Сейненський Алішер Вікторович 	False	2012	Автономна Республіка Крим	№10
Хруслова Ліліана Мударисівна 	False	2012	Автономна Республіка Крим	№10
Устіменко Андрій Ігорович 	False	2012	Автономна Республіка Крим	№10
Домбровський Олександр Георгійович 	True	2012	Вінницька область	№11
Солейко Наталія Петрівна 	False	2012	Вінницька область	№11
Станіславенко Людмила Анатоліївна 	False	2012	Вінницька область	№11
Бевз Валерій Ананійович 	False	2012	Вінницька область	№11
Добринська Наталія Володимирівна 	False	2012	Вінницька область	№11
Антемюк Віктор Дмитрович 	False	2012	Вінницька область	№11
Добровольський Віталій Олександрович 	False	2012	Вінницька область	№11
Березовський В’ячеслав Миколайович 	False	2012	Вінницька область	№11
Кулініч Роман Олександрович 	False	2012	Вінницька область	№11
Порошенко Петро Олексійович 	True	2012	Вінницька область	№12
Базелюк Володимир Васильович 	False	2012	Вінницька область	№12
Максимчук Борис Анатолійович 	False	2012	Вінницька область	№12
Іорданов Юрій Іванович 	False	2012	Вінницька область	№12
Бондарчук Іван Миколайович 	False	2012	Вінницька область	№12
Барчишен Олег Вікторович 	False	2012	Вінницька область	№12
Костирко Дмитро Олександрович 	False	2012	Вінницька область	№12
Дмитрів Олег Степанович 	False	2012	Вінницька область	№12
Катеринчук Микола Дмитрович 	True	2012	Вінницька область	№13
Юрчишин Петро Васильович 	False	2012	Вінницька область	№13
Гайдаєв Юрій Олександрович 	False	2012	Вінницька область	№13
Зубко Ігор Миколайович 	False	2012	Вінницька область	№13
Черній Василь Васильович 	False	2012	Вінницька область	№13
Кавунець Андрій Володимирович 	False	2012	Вінницька область	№13
Шепелев Олександр Олександрович 	False	2012	Вінницька область	№13
Добруцький Ігор Ігорович 	False	2012	Вінницька область	№13
Яремчук Юрій Якович 	False	2012	Вінницька область	№13
Климчук Олександр Миколайович 	False	2012	Вінницька область	№13
Герасимова Ірина Дмитрівна 	False	2012	Вінницька область	№13
Коваль Тарас Іванович 	False	2012	Вінницька область	№13
Борисюк Тарас Григорович 	False	2012	Вінницька область	№13
Негруб Микола Іванович 	False	2012	Вінницька область	№13
Палій Ліна Миколаївна 	False	2012	Вінницька область	№13
Оніщенко Сергій Вікторович 	False	2012	Вінницька область	№13
Сусла Василь Станіславович 	False	2012	Вінницька область	№13
Жеребнюк Віктор Миколайович 	True	2012	Вінницька область	№14
Мельничук Іван Іванович 	False	2012	Вінницька область	№14
Онопенко Василь Васильович 	False	2012	Вінницька область	№14
Закусилова Лідія Олексіївна 	False	2012	Вінницька область	№14
Зелена Катерина Вітославівна 	False	2012	Вінницька область	№14
Гнатюк Юрій Петрович 	False	2012	Вінницька область	№14
Кривак Іван Васильович 	False	2012	Вінницька область	№14
Власюк Віктор Васильович 	False	2012	Вінницька область	№14
Загороднюк Юрій Вікторович 	False	2012	Вінницька область	№14
Козловський Юрій Борисович 	False	2012	Вінницька область	№14
Погодін Олексій Олександрович 	False	2012	Вінницька область	№14
Джига Микола Васильович 	True	2012	Вінницька область	№15
Вовк Василь Васильович 	False	2012	Вінницька область	№15
Продан Сергій Олександрович 	False	2012	Вінницька область	№15
Мельник Світлана Миколаївна 	False	2012	Вінницька область	№15
Коваль Катерина Петрівна 	False	2012	Вінницька область	№15
Галушко Леонід Володимирович 	False	2012	Вінницька область	№15
Ковальов Володимир Аркадійович 	False	2012	Вінницька область	№15
Рекало Олександр Анатолійович 	False	2012	Вінницька область	№15
Третьяков Олександр Миколайович 	False	2012	Вінницька область	№15
Стус Олександр Іванович 	False	2012	Вінницька область	№15
Калетник Оксана Миколаївна 	True	2012	Вінницька область	№16
Македон Юрій Миколайович 	False	2012	Вінницька область	№16
Лантух Олег Петрович 	False	2012	Вінницька область	№16
Лосенко Михайло Михайлович 	False	2012	Вінницька область	№16
Ковальчук Микола Анатолійович 	False	2012	Вінницька область	№16
Стойлов Володимир Петрович 	False	2012	Вінницька область	№16
Паримський Ігор Святославович 	False	2012	Вінницька область	№16
Потурнак Іван Євгенійович 	False	2012	Вінницька область	№16
Свиридівський Ярослав Ігорович 	False	2012	Вінницька область	№16
Заболотний Григорій Михайлович 	True	2012	Вінницька область	№17
Кучер Микола Іванович 	False	2012	Вінницька область	№17
Бойдаченко Антон Павлович 	False	2012	Вінницька область	№17
Кирилюк Максим Анатолійович 	False	2012	Вінницька область	№17
Капітан Олександр Олександрович 	False	2012	Вінницька область	№17
Попенко Ігор Петрович 	False	2012	Вінницька область	№17
Мельник Юрій Іванович 	False	2012	Вінницька область	№17
Волковський Володимир Григорович 	False	2012	Вінницька область	№17
Мальченко Олександр Андрійович 	False	2012	Вінницька область	№17
Чумак Сергій Вікторович 	False	2012	Вінницька область	№17
Кольцов Микола Гнатович 	False	2012	Вінницька область	№17
Калетнік Григорій Миколайович 	True	2012	Вінницька область	№18
Якименко Костянтин Вячеславович 	False	2012	Вінницька область	№18
Куровський Станіслав Євгенович 	False	2012	Вінницька область	№18
Квашук Олександр Євгенович 	False	2012	Вінницька область	№18
Демчак Андрій Васильович 	False	2012	Вінницька область	№18
Філонова Анна Валентинівна 	False	2012	Вінницька область	№18
Братанюк Леонід Євгенович 	False	2012	Вінницька область	№18
Балдинюк Василь Михайлович 	False	2012	Вінницька область	№18
Манжуловський Олександр Феофанович 	False	2012	Вінницька область	№18
Миролюб Наталія Анатоліївна 	False	2012	Вінницька область	№18
Власюк Олександр Іванович 	False	2012	Вінницька область	№18
Болотенюк Степан Васильович 	False	2012	Вінницька область	№18
Вовк Анатолій Іванович 	False	2012	Вінницька область	№18
Кошиль Андрій Григорович 	False	2012	Вінницька область	№18
Стамбула Геннадій Станіславович 	False	2012	Вінницька область	№18
Чечель Микола Йосипович 	False	2012	Вінницька область	№18
Мельник Євген Іванович 	True	2012	Волинська область	№19
Ковальчук Сергій Михайлович 	False	2012	Волинська область	№19
Діброва Валерій Григорович 	False	2012	Волинська область	№19
Частяков Геннадій Геннадійович 	False	2012	Волинська область	№19
Киричук Олександр Олексійович 	False	2012	Волинська область	№19
Недищук Євгеній Микитович 	False	2012	Волинська область	№19
Латковський Володимир Володимирович 	False	2012	Волинська область	№19
Савюк Ганна Павлівна 	False	2012	Волинська область	№19
Лазаренко Людмила Ростиславівна 	False	2012	Волинська область	№19
Вігура Леонід Якович 	False	2012	Волинська область	№19
Приступа Богдан Євгенійович 	False	2012	Волинська область	№19
Слабенко Сергій Іванович 	False	2012	Волинська область	№19
Булавін Олександр Олександрович 	False	2012	Волинська область	№19
Лактіонов Дмитро Олександрович 	False	2012	Волинська область	№19
Паращак Юрій Ігорович 	False	2012	Волинська область	№19
Мартиняк Сергій Васильович 	True	2012	Волинська область	№20
Карпюк Роман Петрович 	False	2012	Волинська область	№20
Загрева Борис Юхимович 	False	2012	Волинська область	№20
Красуля Володимир Анатолійович 	False	2012	Волинська область	№20
Іванченко Олександр Анатолійович 	False	2012	Волинська область	№20
Войтович Віталій Володимирович 	False	2012	Волинська область	№20
Маткобожик Анатолій Андрійович 	False	2012	Волинська область	№20
Українець Михайло Григорович 	False	2012	Волинська область	№20
Івахів Степан Петрович 	True	2012	Волинська область	№21
Гузь Ігор Володимирович 	False	2012	Волинська область	№21
Смітюх Іван Євдокимович 	False	2012	Волинська область	№21
Скрипін Ігор Олександрович 	False	2012	Волинська область	№21
Кононович Олександр Адамович 	False	2012	Волинська область	№21
Верчук Ігор Васильович 	False	2012	Волинська область	№21
Байцим Василь Федорович 	False	2012	Волинська область	№21
Бурко Іван Михайлович 	False	2012	Волинська область	№21
Палиця Ігор Петрович 	True	2012	Волинська область	№22
Кравчук Петро Костянтинович 	False	2012	Волинська область	№22
Алєксєєв Ігор Володимирович 	False	2012	Волинська область	№22
Голєва Олена Василівна 	False	2012	Волинська область	№22
Федосюк Віталій Євгенійович 	False	2012	Волинська область	№22
Недужко Юрій Вікторович 	False	2012	Волинська область	№22
Гайдучик Петро Данилович 	False	2012	Волинська область	№22
Пащук Віктор Михайлович 	False	2012	Волинська область	№22
Божидарнік Тарас Вікторович 	False	2012	Волинська область	№22
Козюра Андрій Григорович 	False	2012	Волинська область	№22
Сітуха Сергій Дмитрович 	False	2012	Волинська область	№22
Плакса Ярослав Вікторович 	False	2012	Волинська область	№22
Єремеєв Ігор Миронович 	True	2012	Волинська область	№23
Грицюк Анатолій Петрович 	False	2012	Волинська область	№23
Бущик Петро Григорович 	False	2012	Волинська область	№23
Грицюк Андрій Іванович 	False	2012	Волинська область	№23
Лондар Олексій Сергійович 	False	2012	Волинська область	№23
Розтока Андрій Вячеславович 	False	2012	Волинська область	№23
Козік Ігор Петрович 	False	2012	Волинська область	№23
Кононенко Дмитро Євгенович 	False	2012	Волинська область	№23
Олешко Петро Степанович 	False	2012	Волинська область	№23
Прохоренко Володимир Анатолійович 	False	2012	Волинська область	№23
Безбах Яків Якович 	True	2012	Дніпропетровська область	№24
Крупський Анатолій Федорович 	False	2012	Дніпропетровська область	№24
Убогов Валерій Леонідович 	False	2012	Дніпропетровська область	№24
Шебанова Ганна Олегівна 	False	2012	Дніпропетровська область	№24
Лукіша Микита Анатолійович 	False	2012	Дніпропетровська область	№24
Суханов Сергій Анатолійович 	False	2012	Дніпропетровська область	№24
Самойленко Владислав Олександрович 	False	2012	Дніпропетровська область	№24
Тіпко Григорій Васильович 	False	2012	Дніпропетровська область	№24
Безус Валерій Олександрович 	False	2012	Дніпропетровська область	№24
Саттаров Валерій Азамович 	False	2012	Дніпропетровська область	№24
Циркін Ігор Маркович 	True	2012	Дніпропетровська область	№25
Курячий Максим Павлович 	False	2012	Дніпропетровська область	№25
Власов Юрій Антонович 	False	2012	Дніпропетровська область	№25
Руденко Олександр Олександрович 	False	2012	Дніпропетровська область	№25
Галаган Олександр Васильович 	False	2012	Дніпропетровська область	№25
Гвоздєв Геннадій Геннадійович 	False	2012	Дніпропетровська область	№25
Тімофєєв Євген Олександрович 	False	2012	Дніпропетровська область	№25
Джума Вадим Петрович 	False	2012	Дніпропетровська область	№25
Ступак Іван Іванович 	True	2012	Дніпропетровська область	№26
Макаров Сергій Євгенович 	False	2012	Дніпропетровська область	№26
Серженко Віктор Миколайович 	False	2012	Дніпропетровська область	№26
Дорохін Віталій Ігорович 	False	2012	Дніпропетровська область	№26
Губаренко Володимир Анатолійович 	False	2012	Дніпропетровська область	№26
Момот Олександр Іванович 	True	2012	Дніпропетровська область	№27
Староскольцева Анастасія Олександрівна 	False	2012	Дніпропетровська область	№27
Мамрич Олександр Степанович 	False	2012	Дніпропетровська область	№27
Чумак Світлана Олександрівна 	False	2012	Дніпропетровська область	№27
Деркач Микола Іванович 	False	2012	Дніпропетровська область	№27
Хазан Павло Вікторович 	False	2012	Дніпропетровська область	№27
Бік Дмитро Євгенович 	False	2012	Дніпропетровська область	№27
Конопелькін Олександр Вікторович 	False	2012	Дніпропетровська область	№27
Деркач Олег Валерійович 	False	2012	Дніпропетровська область	№27
Захаров Кирило Віталійович 	False	2012	Дніпропетровська область	№27
Алмазова Ганна Володимирівна 	False	2012	Дніпропетровська область	№27
Богданенко Олександр Васильович 	False	2012	Дніпропетровська область	№27
Плюта Володимир Федорович 	False	2012	Дніпропетровська область	№27
Морозенко Євгеній Вадимович 	True	2012	Дніпропетровська область	№28
Галілей Анатолій Степанович 	False	2012	Дніпропетровська область	№28
Шинкаренко Ігор Петрович 	False	2012	Дніпропетровська область	№28
Шинкаренко Наталія Володимирівна 	False	2012	Дніпропетровська область	№28
Чукмасов Сергій Олександрович 	False	2012	Дніпропетровська область	№28
Табурянський Леопольд Іванович 	False	2012	Дніпропетровська область	№28
Колесников Денис Вікторович 	False	2012	Дніпропетровська область	№28
Тигов Олександр Олександрович 	False	2012	Дніпропетровська область	№28
Величко Катерина Олександрівна 	False	2012	Дніпропетровська область	№28
Завротська Тетяна Вікторівна 	False	2012	Дніпропетровська область	№28
Шендрик Анатолій Миколайович 	False	2012	Дніпропетровська область	№28
Терешко Руслан Ігоревич 	False	2012	Дніпропетровська область	№28
Макаров Владислав Леонідович 	False	2012	Дніпропетровська область	№28
Петров Вадим Григорович 	False	2012	Дніпропетровська область	№28
Осташ Євген Дмитрович 	False	2012	Дніпропетровська область	№28
Средняк Валерій Якович 	False	2012	Дніпропетровська область	№28
Бутківський Віктор Володимирович 	True	2012	Дніпропетровська область	№29
Садовий Тарас Іванович 	False	2012	Дніпропетровська область	№29
Чалий Дмитро Володимирович 	False	2012	Дніпропетровська область	№29
Гноєвий Віктор Григорович 	False	2012	Дніпропетровська область	№29
Мельник Сергій Ігорович 	False	2012	Дніпропетровська область	№29
Мазур Валерій Григорович 	False	2012	Дніпропетровська область	№29
Штамбург Вячеслав Віталійович 	False	2012	Дніпропетровська область	№29
Маласай Віталій Миколайович 	False	2012	Дніпропетровська область	№29
