deputat,partia,perc_for,votes_for,tvo,oblast,year,tvo_pres,pres_candidate,pres_perc_for,pres_votes_for,winner,info,proposed,registration,gender,age,birthday,job,city_living,average_age,pop_change,region_ideology,previous,funding,power_status,party_ideology,prop_election_forecast
Скрипченко Валерій Володимирович,"політична партія Всеукраїнське об’єднання ""Свобода""",NA,NA,11,Вінницька область,2019,11,Кошулинський Руслан,1.37900852119142,1607,NA,"народився 6 березня 1975 року в місті Первомайськ Миколаївської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член політичної партії Всеукраїнське об’єднання ""Свобода"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Свобода"".","політична партія Всеукраїнське об’єднання ""Свобода""",25.06.2019,M,44,6.3.1975,фізична особа – підприємець,проживає в місті Вінниці,41.1,-4.7,grey,0,0,no,orange,NA
Хаджинов Максим Геннадійович,Самовисування,NA,NA,11,Вінницька область,2019,11,NA,0,0,NA,"народився 9 квiтня 1991 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, начальник цеху № 3 по виготовленню електронагрівальних плит, ПП ""ВО Елна-Сервіс"", безпартійний, проживає в селі Якушенці Вінницького району Вінницької області, судимість відсутня, самовисування.",Самовисування,20.06.2019,M,28,9.4.1991,начальник цеху № 3 по виготовленню електронагрівальних плит,проживає в селі Якушенці Вінницького району Вінницької області,41.1,-4.7,grey,0,0,no,grey,NA
Шулікін Олег Миколайович,Самовисування,NA,NA,11,Вінницька область,2019,11,NA,0,0,NA,"народився 24 серпня 1966 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, Агрономічненський сільський голова, безпартійний, проживає в селі Агрономічне Вінницького району Вінницької області, судимість відсутня, самовисування.",Самовисування,22.06.2019,M,53,24.8.1966,Агрономічненський сільський голова,проживає в селі Агрономічне Вінницького району Вінницької області,41.1,-4.7,grey,0,0,no,grey,NA
Базелюк Володимир Васильович,"політична партія Всеукраїнське об’єднання ""Свобода""",NA,NA,12,Вінницька область,2019,12,Кошулинський Руслан,1.44266432475295,1692,NA,"народився 13 квiтня 1980 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член політичної партії Всеукраїнське об’єднання ""Свобода"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Свобода"".","політична партія Всеукраїнське об’єднання ""Свобода""",22.06.2019,M,39,13.4.1980,фізична особа – підприємець,проживає в місті Вінниці,41.1,-4.7,grey,0,0,no,orange,NA
Білошкурський Олександр Валерійович,Самовисування,NA,NA,12,Вінницька область,2019,12,NA,0,0,NA,"народився 28 серпня 1975 року в місті Вінниця, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ПП ""Консалтинг експерт груп ""Діктум-Фактум"", безпартійний, проживає в місті Вінниці, судимість відсутня, самовисування.",Самовисування,24.06.2019,M,44,28.8.1975,директор,проживає в місті Вінниці,41.1,-4.7,grey,0,0,no,grey,NA
Ваколюк Людмила Євгенівна,"політична партія Всеукраїнське об’єднання ""Батьківщина""",NA,NA,12,Вінницька область,2019,12,Тимошенко Юлія,13.8187120042973,16207,NA,"народилася 14 жовтня 1971 року в місті Вінниці, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".","політична партія Всеукраїнське об’єднання ""Батьківщина""",24.06.2019,F,48,14.10.1971,фізична особа – підприємець,проживає в місті Вінниці,41.1,-4.7,grey,0,0,no,orange,NA
Верлан-Кульшенко Олена Олександрівна,"Політична партія ""Європейська Солідарність""",NA,NA,12,Вінницька область,2019,12,Порошенко Петро,27.1301041071596,31819,NA,"народилася 13 липня 1971 року в смт Шаргород Шаргородського району Вінницької області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець,  викладач кафедри патологічної анатомії, судової медицини та права, Вінницький національний медичний університет імені М.І. Пирогова, безпартійнa, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Політична партія ""Європейська Солідарність"".","Політична партія ""Європейська Солідарність""",24.06.2019,F,48,13.7.1971,фізична особа – підприємець,проживає в місті Вінниці,41.1,-4.7,grey,0,0,no,orange,NA
Галіцька Вікторія Вікторівна,Самовисування,NA,NA,12,Вінницька область,2019,12,NA,0,0,NA,"народилася 24 грудня 1988 року в селі Суслівці Летичівського району Хмельницької області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""ДИНАСТІЯ В.В."", безпартійнa, проживає в місті Вінниці, судимість відсутня, самовисування.",Самовисування,20.06.2019,F,31,24.12.1988,директор,проживає в місті Вінниці,41.1,-4.7,grey,0,0,no,grey,NA
Головін Ігор Володимирович,"ПОЛІТИЧНА ПАРТІЯ ""СВІДОМА НАЦІЯ""",NA,NA,12,Вінницька область,2019,12,NA,0,0,NA,"народився 20 липня 1975 року в місті Житомирі, громадянин України, протягом останніх п’яти років проживає на території України, освіта професійно-технічна, фізична особа – підприємець, безпартійний, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СВІДОМА НАЦІЯ"".","ПОЛІТИЧНА ПАРТІЯ ""СВІДОМА НАЦІЯ""",25.06.2019,M,44,20.7.1975,фізична особа – підприємець,проживає в місті Вінниці,41.1,-4.7,grey,0,0,no,grey,NA
Грушко Сергій Сергійович,"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",NA,NA,12,Вінницька область,2019,12,Бойко Юрій,4.64687976944655,5450,NA,"народився 11 липня 1990 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, житлово-будівельний кооператив ""Польський Бульвар"", член Політичної партії ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"".","Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",24.06.2019,M,29,11.7.1990,голова,проживає в місті Вінниці,41.1,-4.7,grey,0,0,no,blue,NA
Донець Віталій Григорович,Самовисування,NA,NA,12,Вінницька область,2019,12,NA,0,0,NA,"народився 27 лютого 1981 року в місті Біла Церква Київської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, державна реабілітаційна установа ""Центр комплексної реабілітації для дітей з інвалідністю ""Промінь"", безпартійний, проживає в місті Вінниці, судимість відсутня, самовисування.",Самовисування,15.06.2019,M,38,27.2.1981,директор,проживає в місті Вінниці,41.1,-4.7,grey,0,0,no,grey,NA
Драбовський Анатолій Григорович,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",NA,NA,12,Вінницька область,2019,12,Зеленський Володимир,24.3300393066344,28535,NA,"народився 1 серпня 1958 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, ректор, Вінницький кооперативний інститут, безпартійний, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".","ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",25.06.2019,M,61,1.8.1958,ректор,проживає в місті Вінниці,41.1,-4.7,grey,0,0,yes,orange,NA
Кривешко Сергій Сергійович,"ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ""",NA,NA,12,Вінницька область,2019,12,Смешко Ігор,11.7570321359447,13789,NA,"народився 25 грудня 1975 року в селі Вінницькі Хутори Вінницького району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ПП ""АТП КРИВЕШКО"", безпартійний, проживає в селі Вінницькі Хутори Вінницького району Вінницької області, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ"".","ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ""",24.06.2019,M,44,25.12.1975,директор,проживає в селі Вінницькі Хутори Вінницького району Вінницької області,41.1,-4.7,grey,0,0,no,orange,NA
Мазуренко Денис Анатолійович,"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",NA,NA,12,Вінницька область,2019,12,Вілкул Олександр,2.16996495655807,2545,NA,"народився 7 сiчня 1985 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член Політичної партії ""ОПОЗИЦІЙНИЙ БЛОК"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНИЙ БЛОК"".","Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",25.06.2019,M,34,7.1.1985,фізична особа – підприємець,проживає в місті Вінниці,41.1,-4.7,grey,0,0,no,blue,NA
Марцинковський Леонід Васильович,Самовисування,NA,NA,12,Вінницька область,2019,12,NA,0,0,NA,"народився 16 серпня 1977 року в смт Стрижавка Вінницького району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, керуючий партнер, адвокатське об’єднання ""Марцинковський і партнери"", безпартійний, проживає в місті Вінниці, судимість відсутня, самовисування.",Самовисування,18.06.2019,M,42,16.8.1977,керуючий партнер,проживає в місті Вінниці,41.1,-4.7,grey,0,0,no,grey,NA
Околіта Володимир Олександрович,"Політична партія ""Об’єднання ""САМОПОМІЧ""",NA,NA,12,Вінницька область,2019,12,NA,0,0,NA,"народився 23 листопада 1972 року в селі Вінницькі Хутори Вінницького району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, лікар-хірург, Вінницька обласна клінічна лікарня ім. М.І. Пирогова, член Політичної партії ""Об’єднання ""САМОПОМІЧ"", проживає в селі Вінницькі Хутори Вінницького району Вінницької області, судимість відсутня, суб’єкт висування – Політична партія ""Об’єднання ""САМОПОМІЧ"".","Політична партія ""Об’єднання ""САМОПОМІЧ""",22.06.2019,M,47,23.11.1972,лікар-хірург,проживає в селі Вінницькі Хутори Вінницького району Вінницької області,41.1,-4.7,grey,0,0,no,orange,NA
Павленко Юрій Євгенійович,"Політична Партія ""ПАТРІОТ""",NA,NA,12,Вінницька область,2019,12,NA,0,0,NA,"народився 29 жовтня 1989 року в смт Стара Синява Хмельницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Політична Партія ""ПАТРІОТ"".","Політична Партія ""ПАТРІОТ""",25.06.2019,M,30,29.10.1989,тимчасово не працює,проживає в місті Вінниці,41.1,-4.7,grey,0,0,no,grey,NA
Покорук Неля Миколаївна,Аграрна партія України,NA,NA,12,Вінницька область,2019,12,NA,0,0,NA,"народилася 16 грудня 1969 року в селі Оленівка Вінницького району Вінницької області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонерка, член Аграрної партії України, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Аграрна партія України.",Аграрна партія України,25.06.2019,F,50,16.12.1969,пенсіонерка,проживає в місті Вінниці,41.1,-4.7,grey,0,0,no,grey,NA
Руденко Сергій Васильович,Самовисування,NA,NA,12,Вінницька область,2019,12,NA,0,0,NA,"народився 5 листопада 1968 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в місті Вінниці, судимість відсутня, самовисування.",Самовисування,20.06.2019,M,51,5.11.1968,фізична особа – підприємець,проживає в місті Вінниці,41.1,-4.7,grey,0,0,no,grey,NA
Бойко Юрій Іванович,"ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ""",NA,NA,13,Вінницька область,2019,13,Смешко Ігор,8.29552886462021,7991,NA,"народився 31 травня 1962 року в селі Широка Гребля Хмільницького району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонер, безпартійний, проживає в місті Києві, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ"".","ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ""",24.06.2019,M,57,31.5.1962,пенсіонер,проживає в місті Києві,41.1,-4.7,grey,0,0,no,orange,NA
Вербецький Андрій Олегович,Самовисування,NA,NA,13,Вінницька область,2019,13,NA,0,0,NA,"народився 11 листопада 1993 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член ПОЛІТИЧНОЇ ПАРТІЇ ""НАЦІОНАЛЬНИЙ КОРПУС"", проживає в місті Вінниці, судимість відсутня, самовисування.",Самовисування,21.06.2019,M,26,11.11.1993,фізична особа – підприємець,проживає в місті Вінниці,41.1,-4.7,grey,0,0,no,grey,NA
Колесник Ірина Миколаївна,"Політична Партія ""ГОЛОС""",NA,NA,13,Вінницька область,2019,13,NA,0,0,NA,"народилася 30 квiтня 1987 року в місті Козятин Вінницької області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, безробітна, безпартійнa, проживає в селі Козятин Козятинського району Вінницької області, судимість відсутня, суб’єкт висування – Політична Партія ""ГОЛОС"".","Політична Партія ""ГОЛОС""",22.06.2019,F,32,30.4.1987,безробітна,проживає в селі Козятин Козятинського району Вінницької області,41.1,-4.7,grey,0,0,no,orange,NA
Крученюк Олександр Васильович,"Політична партія ""Європейська Солідарність""",NA,NA,13,Вінницька область,2019,13,Порошенко Петро,21.239709744729,20460,NA,"народився 30 травня 1978 року в місті Хмільник Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник голови, Вінницька обласна державна адміністрація, член Політичної партії ""Європейська Солідарність"", проживає в місті Хмільник Вінницької області, судимість відсутня, суб’єкт висування – Політична партія ""Європейська Солідарність"".","Політична партія ""Європейська Солідарність""",24.06.2019,M,41,30.5.1978,заступник голови,проживає в місті Хмільник Вінницької області,41.1,-4.7,grey,0,0,no,orange,NA
Максименко Юрій Володимирович,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",NA,NA,13,Вінницька область,2019,13,Зеленський Володимир,23.0086474478091,22164,NA,"народився 19 грудня 1981 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""КУРС"", безпартійний, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".","ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",25.06.2019,M,38,19.12.1981,директор,проживає в місті Вінниці,41.1,-4.7,grey,0,0,yes,orange,NA
Матвіюк Сергій Анатолійович,Самовисування,NA,NA,13,Вінницька область,2019,13,NA,0,0,NA,"народився 14 грудня 1978 року в місті Козятин Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в місті Козятин Вінницької області, судимість відсутня, самовисування.",Самовисування,21.06.2019,M,41,14.12.1978,фізична особа – підприємець,проживає в місті Козятин Вінницької області,41.1,-4.7,grey,0,0,no,grey,NA
Москалюк Андрій Петрович,"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",NA,NA,13,Вінницька область,2019,13,Бойко Юрій,3.72784934962472,3591,NA,"народився 15 серпня 1976 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, керівник, ТОВ ""Барбарис"", член Політичної партії ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"".","Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",24.06.2019,M,43,15.8.1976,керівник,проживає в місті Вінниці,41.1,-4.7,grey,0,0,no,blue,NA
Побережний Олег Володимирович,"ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛЬНА СПРАВЕДЛИВІСТЬ""",NA,NA,13,Вінницька область,2019,13,NA,0,0,NA,"народився 8 серпня 1967 року в селі Стара Гута Хмільницького району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, ГО ""Партія Національного Порятунку"", член ПОЛІТИЧНОЇ ПАРТІЇ ""СОЦІАЛЬНА СПРАВЕДЛИВІСТЬ"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛЬНА СПРАВЕДЛИВІСТЬ"".","ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛЬНА СПРАВЕДЛИВІСТЬ""",24.06.2019,M,52,8.8.1967,голова,проживає в місті Вінниці,41.1,-4.7,grey,0,0,no,grey,NA
Реп’яхОлександр Анатолійович,Самовисування,NA,NA,13,Вінницька область,2019,13,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.1,-4.7,grey,0,0,no,grey,NA
Стахов Валерій Іванович,Самовисування,NA,NA,13,Вінницька область,2019,13,NA,0,0,NA,"народився 17 жовтня 1969 року в місті Козятин Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, селянсько-фермерське господарство ""Богдан"", безпартійний, проживає в селі Козятин Козятинського району Вінницької області, судимість відсутня, самовисування.",Самовисування,18.06.2019,M,50,17.10.1969,голова,проживає в селі Козятин Козятинського району Вінницької області,41.1,-4.7,grey,0,0,no,grey,NA
Юрчишин Петро Васильович,Самовисування,NA,NA,13,Вінницька область,2019,13,NA,0,0,NA,"народився 13 липня 1958 року в місті Антрацит Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в місті Хмільник Вінницької області, судимість відсутня, самовисування.",Самовисування,15.06.2019,M,61,13.7.1958,народний депутат України,проживає в місті Хмільник Вінницької області,41.1,-4.7,grey,1,35070,no,grey,NA
Яремчук Юрій Якович,"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",NA,NA,13,Вінницька область,2019,13,Вілкул Олександр,1.59349728534502,1535,NA,"народився 31 травня 1972 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член Політичної партії ""ОПОЗИЦІЙНИЙ БЛОК"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНИЙ БЛОК"".","Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",25.06.2019,M,47,31.5.1972,тимчасово не працює,проживає в місті Вінниці,41.1,-4.7,grey,0,0,no,blue,NA
Борзова Ірина Наумівна,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",NA,NA,14,Вінницька область,2019,14,Зеленський Володимир,23.5275934351484,24356,NA,"народилася 28 серпня 1982 року в місті Вінниці, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійнa, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".","ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",25.06.2019,F,37,28.8.1982,фізична особа – підприємець,проживає в місті Вінниці,41.1,-4.7,grey,0,0,yes,orange,NA
Брояка Вадим Францович,Самовисування,NA,NA,14,Вінницька область,2019,14,NA,0,0,NA,"народився 16 листопада 1985 року в селі Будків Хмільницького району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта загальна середня, директор, ТОВ ""Юридична фірма ""Юрінформ"", безпартійний, проживає в місті Хмільник Вінницької області, судимість відсутня, самовисування.",Самовисування,21.06.2019,M,34,16.11.1985,директор,проживає в місті Хмільник Вінницької області,41.1,-4.7,grey,0,0,no,grey,NA
Дикий Микола Борисович,Самовисування,NA,NA,14,Вінницька область,2019,14,NA,0,0,NA,"народився 12 червня 1972 року в селі Городище Літинського району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонер, член ПОЛІТИЧНОЇ ПАРТІЇ ""НАЦІОНАЛЬНИЙ КОРПУС"", проживає в смт Літин Літинського району Вінницької області, судимість відсутня, самовисування.",Самовисування,13.06.2019,M,47,12.6.1972,пенсіонер,проживає в смт Літин Літинського району Вінницької області,41.1,-4.7,grey,0,0,no,grey,NA
